"序号","OBJ编号","中文名称","原文件名","修改后文件名","原相对路径","修改后相对路径","字节数","SHA256"
"1","OBJ001","白色带把杯-后","1.txt","S0288.txt","tactile-lushui\白色带把杯-后\1.txt","tactile-lushui\白色带把杯-后\S0288.txt","116238","F09FA5FB98F2FB22C0BD07068CE59E061A86B7E9BABE736F7C8D6D67FC93203F"
"2","OBJ001","白色带把杯-后","2.txt","S0289.txt","tactile-lushui\白色带把杯-后\2.txt","tactile-lushui\白色带把杯-后\S0289.txt","117043","E11FF7EF913AF6B83C4335161F3518B351DC7D74110131A301A716D94B65632C"
"3","OBJ001","白色带把杯-后","3.txt","S0290.txt","tactile-lushui\白色带把杯-后\3.txt","tactile-lushui\白色带把杯-后\S0290.txt","118372","8A8DC6DF65607AABC9E6A88857C389B5738E24DC9EBD36695A5A47A531DD418E"
"4","OBJ001","白色带把杯-后","4.txt","S0291.txt","tactile-lushui\白色带把杯-后\4.txt","tactile-lushui\白色带把杯-后\S0291.txt","123457","4D24E964509C91D307314E4853C73CE985121CB64A465801B2F378D12F6C5C9E"
"5","OBJ001","白色带把杯-后","5.txt","S0292.txt","tactile-lushui\白色带把杯-后\5.txt","tactile-lushui\白色带把杯-后\S0292.txt","122306","2BFC41ADF47092929AB728F71273E5C6E494F93BFBD0C190D5EECB34171EB5DF"
"6","OBJ001","白色带把杯-后","6.txt","S0293.txt","tactile-lushui\白色带把杯-后\6.txt","tactile-lushui\白色带把杯-后\S0293.txt","117816","E4B52BAE7000A8DBC9D6DE28C4D63ADF2A098F3E5EAA9C2581F90BB03062C9FA"
"7","OBJ001","白色带把杯-后","7.txt","S0294.txt","tactile-lushui\白色带把杯-后\7.txt","tactile-lushui\白色带把杯-后\S0294.txt","117301","4F176934DCF1EAC12F26DF9CA7E7A53DE1812E8F879ADB2CAC64CC45495D515A"
"8","OBJ001","白色带把杯-后","8-进水速度快.txt","S0295.txt","tactile-lushui\白色带把杯-后\8-进水速度快.txt","tactile-lushui\白色带把杯-后\S0295.txt","116587","43910EA202C1D598601550BFBF77E27B2BF363007685854FEB4171A560C8B1D9"
"9","OBJ001","白色带把杯-后","9-进水速度快.txt","S0296.txt","tactile-lushui\白色带把杯-后\9-进水速度快.txt","tactile-lushui\白色带把杯-后\S0296.txt","118256","2F3F2087090C6C75531D846E7796450610294FFB4F211BBA008AD750BD4DE79F"
"10","OBJ001","白色带把杯-后","10-进水速度快.txt","S0297.txt","tactile-lushui\白色带把杯-后\10-进水速度快.txt","tactile-lushui\白色带把杯-后\S0297.txt","117138","53BB16EF2B80AD8C774822DD338E82359BEA7990B9FDFC268C4049F1A5A806BB"
"11","OBJ001","白色带把杯-后","11-不同摆放.txt","S0298.txt","tactile-lushui\白色带把杯-后\11-不同摆放.txt","tactile-lushui\白色带把杯-后\S0298.txt","116417","1642BD31400BABBE024A7C031EBF97091E6B8E3673B769404821C34FC8915F2F"
"12","OBJ001","白色带把杯-后","12-不同摆放.txt","S0299.txt","tactile-lushui\白色带把杯-后\12-不同摆放.txt","tactile-lushui\白色带把杯-后\S0299.txt","116098","2B2799AD2C8DF764C11BE0C2301C6BB520364B62ED4B0102207111FB8153325B"
"13","OBJ001","白色带把杯-后","13-滑移.txt","S0300.txt","tactile-lushui\白色带把杯-后\13-滑移.txt","tactile-lushui\白色带把杯-后\S0300.txt","112902","B1EF3BC778E6692F659A9DFFDCEA7C7E36B4E148BB66086D1FFCB20FEB1962E6"
"14","OBJ001","白色带把杯-后","14-滑移.txt","S0301.txt","tactile-lushui\白色带把杯-后\14-滑移.txt","tactile-lushui\白色带把杯-后\S0301.txt","108988","455FDB4BC0DD1DAE724E5060B461911D303D1089DF65D5BA6824537D02AA9D0D"
"15","OBJ001","白色带把杯-后","15-浑浊.txt","S0302.txt","tactile-lushui\白色带把杯-后\15-浑浊.txt","tactile-lushui\白色带把杯-后\S0302.txt","118761","1A56CA9E3895CF10079AA01FB0B2B4B1C9E1D5E732ACB789B2C173C91B851833"
"16","OBJ002","白色带把碗","1.txt","S0303.txt","tactile-lushui\白色带把碗\1.txt","tactile-lushui\白色带把碗\S0303.txt","118310","878FD4D64931625CE39D81E9C0DC8E64B442A66C3B67A178695D980A63783188"
"17","OBJ002","白色带把碗","2.txt","S0304.txt","tactile-lushui\白色带把碗\2.txt","tactile-lushui\白色带把碗\S0304.txt","119823","2C3184C6E1E27EC240500A5E1ED4F3F0527A6057328E4CEA7C46060F4F6EA3F6"
"18","OBJ002","白色带把碗","3.txt","S0305.txt","tactile-lushui\白色带把碗\3.txt","tactile-lushui\白色带把碗\S0305.txt","120027","EEFD4F9B00961E7556AB989612937E9CAF0884D3CE7619F2D4BC8FC15E048C32"
"19","OBJ002","白色带把碗","4.txt","S0306.txt","tactile-lushui\白色带把碗\4.txt","tactile-lushui\白色带把碗\S0306.txt","120275","8DE2F8C499FAA895F9724C8C17955DE656B64A6F37BF1A4A7BC259EE7919D372"
"20","OBJ002","白色带把碗","5.txt","S0307.txt","tactile-lushui\白色带把碗\5.txt","tactile-lushui\白色带把碗\S0307.txt","119887","0183FEBF320AA3BFA3A40B6958FB681D456566424ED24193293E70311A6EE80C"
"21","OBJ002","白色带把碗","6.txt","S0308.txt","tactile-lushui\白色带把碗\6.txt","tactile-lushui\白色带把碗\S0308.txt","119739","B37E15F0AC2C0A213642C3F153F209C3848F99E131C657EB00C5B4EAF7831004"
"22","OBJ002","白色带把碗","7.txt","S0309.txt","tactile-lushui\白色带把碗\7.txt","tactile-lushui\白色带把碗\S0309.txt","120276","2BA19E110152D1DDAA8A0FC4C0DD8F6CCE119ED97FD13E0513DE7D83418361A5"
"23","OBJ002","白色带把碗","8-滑落.txt","S0310.txt","tactile-lushui\白色带把碗\8-滑落.txt","tactile-lushui\白色带把碗\S0310.txt","122962","42F36F6756465043B41A99318490ECBF9BD9E9E278C7F913981DBDA0A523260E"
"24","OBJ002","白色带把碗","9.txt","S0311.txt","tactile-lushui\白色带把碗\9.txt","tactile-lushui\白色带把碗\S0311.txt","119990","0AC5CDF58AC50187A65BC5A412CFF8807CEDAF169EC986E8E0F9032BF81BECC0"
"25","OBJ002","白色带把碗","10.txt","S0312.txt","tactile-lushui\白色带把碗\10.txt","tactile-lushui\白色带把碗\S0312.txt","121040","63DE9DED316CB9A19C18BFE613EFCA2AAB6126BFD0A18840B22647A7E933D3F7"
"26","OBJ002","白色带把碗","11-进水速度快.txt","S0313.txt","tactile-lushui\白色带把碗\11-进水速度快.txt","tactile-lushui\白色带把碗\S0313.txt","117364","C09C6D389AE7F9D7B79D0C0FC61CE9DA202790F12CA7CF5140DF774742BF52D8"
"27","OBJ002","白色带把碗","12-进水速度快.txt","S0314.txt","tactile-lushui\白色带把碗\12-进水速度快.txt","tactile-lushui\白色带把碗\S0314.txt","118044","4D139C919F1D1A018DB073594E025BB8F007E84D8B3658C0526AEC951427E435"
"28","OBJ002","白色带把碗","13-进水速度快.txt","S0315.txt","tactile-lushui\白色带把碗\13-进水速度快.txt","tactile-lushui\白色带把碗\S0315.txt","118016","52A5A9E74ABA810411D7B02114EE4C2D341901A8F2F60E6FF518C6C540A7118D"
"29","OBJ002","白色带把碗","14-浑浊.txt","S0316.txt","tactile-lushui\白色带把碗\14-浑浊.txt","tactile-lushui\白色带把碗\S0316.txt","116689","6480B8724AEDEF9E59FF495CEF8B775FAE423C40C6B18DF0E390554A62B263D3"
"30","OBJ002","白色带把碗","15-浑浊.txt","S0317.txt","tactile-lushui\白色带把碗\15-浑浊.txt","tactile-lushui\白色带把碗\S0317.txt","116709","40FB2CE0C41299C6B01958E8252C364E1EFB7DD86180FB086F0643C6DBD05B3D"
"31","OBJ003","白色开口大碗","1.txt","S0318.txt","tactile-lushui\白色开口大碗\1.txt","tactile-lushui\白色开口大碗\S0318.txt","116780","E969B4D2D6B83A0FEFB9E4AC5FF4C5F26EB5B22E467063E336C7058B3FDB3430"
"32","OBJ003","白色开口大碗","2.txt","S0319.txt","tactile-lushui\白色开口大碗\2.txt","tactile-lushui\白色开口大碗\S0319.txt","120195","6AE7F6810B0AE2B82EF749EE39C4533E53E4D8DB2F14BFF9EEAB4FB1B57D1086"
"33","OBJ003","白色开口大碗","3.txt","S0320.txt","tactile-lushui\白色开口大碗\3.txt","tactile-lushui\白色开口大碗\S0320.txt","120090","4E3CA6C65A02A10A84DA1ED68F19C5AD116E281F5551A07D73D61DA4D25E003B"
"34","OBJ003","白色开口大碗","4.txt","S0321.txt","tactile-lushui\白色开口大碗\4.txt","tactile-lushui\白色开口大碗\S0321.txt","121279","D74B42742B759DFA136D8B402AE9BA42A055118112E95E16DB9EC568CD85BF5C"
"35","OBJ003","白色开口大碗","5.txt","S0322.txt","tactile-lushui\白色开口大碗\5.txt","tactile-lushui\白色开口大碗\S0322.txt","124564","80B48107DE34E1A6145CC7754DC71EEFA0A4ED634E75A650FA58754FE0C6A85D"
"36","OBJ003","白色开口大碗","6.txt","S0323.txt","tactile-lushui\白色开口大碗\6.txt","tactile-lushui\白色开口大碗\S0323.txt","123743","9BBC2296CAD2B7648768B439D5934A0A234FDC8763169B5D23BD83BBE82C040D"
"37","OBJ003","白色开口大碗","7.txt","S0324.txt","tactile-lushui\白色开口大碗\7.txt","tactile-lushui\白色开口大碗\S0324.txt","122991","A770493AA38DA0D62D9433A9E282CDEF824C8C3DAA7D311181D64903C811B547"
"38","OBJ003","白色开口大碗","8.txt","S0325.txt","tactile-lushui\白色开口大碗\8.txt","tactile-lushui\白色开口大碗\S0325.txt","118384","235B867198587F77CBAC1D0959ABCA8F846EB3E69B94A83A2D2452E7B658D4CC"
"39","OBJ003","白色开口大碗","9.txt","S0326.txt","tactile-lushui\白色开口大碗\9.txt","tactile-lushui\白色开口大碗\S0326.txt","121896","78177A8226A4294C6D9620C4A12F9E692A7DC4CABE8688943F38F7942A305558"
"40","OBJ003","白色开口大碗","10-进水速度快.txt","S0327.txt","tactile-lushui\白色开口大碗\10-进水速度快.txt","tactile-lushui\白色开口大碗\S0327.txt","117127","1EEFEC4F4B76957AC3D1A2E0F0A771C66F3B63FDD3BD73AFD0F0399F62104D52"
"41","OBJ003","白色开口大碗","11-进水速度快.txt","S0328.txt","tactile-lushui\白色开口大碗\11-进水速度快.txt","tactile-lushui\白色开口大碗\S0328.txt","118875","44B4867292F6F6498A6ED85E201D746E3B1F3BBCDFB66C1460976D061769BC44"
"42","OBJ003","白色开口大碗","12-进水速度快.txt","S0329.txt","tactile-lushui\白色开口大碗\12-进水速度快.txt","tactile-lushui\白色开口大碗\S0329.txt","117210","72D553E4EE6C0994F884797C5D4DE67CBB115F3053D02F93D11AC9724BBF0F8E"
"43","OBJ003","白色开口大碗","13-滑移.txt","S0330.txt","tactile-lushui\白色开口大碗\13-滑移.txt","tactile-lushui\白色开口大碗\S0330.txt","114288","AFAD3583BC996E677C658353F2164EB41FD67A4F7ADAA5BF241F1A1CD9E7FD2E"
"44","OBJ003","白色开口大碗","14-浑浊.txt","S0331.txt","tactile-lushui\白色开口大碗\14-浑浊.txt","tactile-lushui\白色开口大碗\S0331.txt","117360","B8233C372D8829E2B3384B108EE7F8E93F4CF7B5E912658B691DDBFFD89A29DE"
"45","OBJ003","白色开口大碗","15-浑浊.txt","S0332.txt","tactile-lushui\白色开口大碗\15-浑浊.txt","tactile-lushui\白色开口大碗\S0332.txt","120989","4B46292AF3327B3FA0FBE33C68166C6107D803D2417490104597ED7874213F7A"
"46","OBJ003","白色开口大碗","不同摆放1-补.txt","S0333.txt","tactile-lushui\白色开口大碗\不同摆放1-补.txt","tactile-lushui\白色开口大碗\S0333.txt","111316","120F4A612229D09D3EBB6772A1070B247220D0917CBC739B28D1136AE89B78A5"
"47","OBJ003","白色开口大碗","不同摆放2-补.txt","S0334.txt","tactile-lushui\白色开口大碗\不同摆放2-补.txt","tactile-lushui\白色开口大碗\S0334.txt","133571","D54A6F9E1389E0649B7877E2C1D7B8F75EA47FB570F77FE2DED55A5AC755CAC6"
"48","OBJ004","锤纹带把杯","1.txt","S0335.txt","tactile-lushui\锤纹带把杯\1.txt","tactile-lushui\锤纹带把杯\S0335.txt","121810","F83AEAB56A6FE2A629C4C3CA640E166D1C8EED953C95A46295FA7881AEB25365"
"49","OBJ004","锤纹带把杯","2.txt","S0336.txt","tactile-lushui\锤纹带把杯\2.txt","tactile-lushui\锤纹带把杯\S0336.txt","122280","1AADB846DA3BB18254C3D574A7690A7E913EBA8BC342B883FD0646132375B978"
"50","OBJ004","锤纹带把杯","3.txt","S0337.txt","tactile-lushui\锤纹带把杯\3.txt","tactile-lushui\锤纹带把杯\S0337.txt","123753","79AFB0B1BB283B54E4482640C458130C02E0762AEC891E4FBBFCB99509F653E7"
"51","OBJ004","锤纹带把杯","4.txt","S0338.txt","tactile-lushui\锤纹带把杯\4.txt","tactile-lushui\锤纹带把杯\S0338.txt","124232","08EA14EE858E2D4BBB84745FC2C78591EEDBF80C30B9AED0249FFF82F86B53B8"
"52","OBJ004","锤纹带把杯","5.txt","S0339.txt","tactile-lushui\锤纹带把杯\5.txt","tactile-lushui\锤纹带把杯\S0339.txt","120541","681B54A1515AF49A7853C1197EA3F05146F858AA4E436426EAA68968BFB3F9B4"
"53","OBJ004","锤纹带把杯","6.txt","S0340.txt","tactile-lushui\锤纹带把杯\6.txt","tactile-lushui\锤纹带把杯\S0340.txt","123428","CEC0E6394A486F3CA03EB727896270E20B7252F8C9F4C8029361163AA9F36D12"
"54","OBJ004","锤纹带把杯","7.txt","S0341.txt","tactile-lushui\锤纹带把杯\7.txt","tactile-lushui\锤纹带把杯\S0341.txt","125632","08BBD96EC69B652DF9C4E5CCEF883B890C141B2491004C17EBD427ADB8442271"
"55","OBJ004","锤纹带把杯","8-进水速度快.txt","S0342.txt","tactile-lushui\锤纹带把杯\8-进水速度快.txt","tactile-lushui\锤纹带把杯\S0342.txt","118586","DE94DCA260680FA4FEB249417D3517B0C0984143169A8B997D3ECB58AC7D982E"
"56","OBJ004","锤纹带把杯","9-进水速度快.txt","S0343.txt","tactile-lushui\锤纹带把杯\9-进水速度快.txt","tactile-lushui\锤纹带把杯\S0343.txt","123122","013BAD4A1A99681276EE465AE77086A9F029923563C6CBD1B9253DA859B5E54B"
"57","OBJ004","锤纹带把杯","10-进水速度快.txt","S0344.txt","tactile-lushui\锤纹带把杯\10-进水速度快.txt","tactile-lushui\锤纹带把杯\S0344.txt","121171","205F60518420EAA0915395BBC621433AD996B904981C4DAF1CC6CFA868C01BC9"
"58","OBJ004","锤纹带把杯","11-不同摆放.txt","S0345.txt","tactile-lushui\锤纹带把杯\11-不同摆放.txt","tactile-lushui\锤纹带把杯\S0345.txt","119844","CDB7900751F7E3727E5CEBC29F060A742C56C969A7519A9A2531D63EE2D0E832"
"59","OBJ004","锤纹带把杯","12-不同摆放.txt","S0346.txt","tactile-lushui\锤纹带把杯\12-不同摆放.txt","tactile-lushui\锤纹带把杯\S0346.txt","123402","0FC786CA9A1949C978272A07373A2BF9D74302506C0A6598847C2DA3040C6A74"
"60","OBJ004","锤纹带把杯","13-滑移.txt","S0347.txt","tactile-lushui\锤纹带把杯\13-滑移.txt","tactile-lushui\锤纹带把杯\S0347.txt","116819","441486CAEB7F2A725C965BB00948D522C72327C2E6BFBD3A1B9207418F965AE9"
"61","OBJ004","锤纹带把杯","14-浑浊.txt","S0348.txt","tactile-lushui\锤纹带把杯\14-浑浊.txt","tactile-lushui\锤纹带把杯\S0348.txt","123990","423849DAD4F7008142CBD113044A8DD64F440FDA50AD9C536A8A06A1B0238A72"
